,0,1,Class
123,4.581548,-0.31577858,110
124,3.0265765,2.0170548,110
125,3.6814752,-0.90268064,110
126,3.893834,2.6460776,110
127,4.708547,-0.0023101876,110
128,4.7673283,1.0364053,111
129,5.0483847,1.8307469,111
130,4.613649,-0.2844016,111
131,0.29847234,1.7429606,111
132,4.7048416,0.66821486,111
133,4.0216966,1.9942182,111
134,4.6549187,0.36692598,111
135,4.7501655,0.55341774,111
136,4.308367,2.5871809,111
137,4.697756,0.8961079,111
138,4.6250324,2.3324094,111
139,5.1953297,1.714967,111
140,0.40798962,2.8873694,112
141,-1.1842897,3.9868095,112
142,2.3559356,2.6148498,112
143,0.72871625,3.8846114,112
144,-1.265403,2.9587576,112
145,1.5636666,-0.92554605,112
146,2.5773182,2.877127,112
147,0.5474222,3.748824,112
148,2.4149458,-0.87120384,114
149,2.7110183,0.7144059,114
150,4.0258126,1.5916401,114
151,3.7992032,-0.15556754,114
152,3.8300862,2.1679215,114
153,4.287138,3.5201864,114
154,3.393294,-0.23444243,114
155,4.393769,0.86500895,114
156,4.479769,0.7761581,114
157,3.8246834,-0.21994168,114
158,4.2029614,0.36018422,114
159,4.2913547,0.5255384,114
160,4.3603177,-0.20400155,114
161,4.1107693,0.22056092,114
162,1.4707325,-0.2332403,115
163,4.268651,1.9482943,115
164,2.71299,4.14885,115
165,1.0545752,-0.22537917,115
166,0.8602973,2.2464614,115
167,1.3855731,5.439321,115
168,1.5460846,-0.18153,115
169,1.0163839,1.6911676,115
170,3.753753,3.5025256,115
171,1.2136708,-0.37668914,115
172,0.97100943,1.8762827,115
173,2.9270065,4.2439785,115
174,1.3943418,0.17765221,115
175,3.036902,1.9536123,115
176,3.57221,4.4336524,115
177,3.4880106,1.8197743,117
178,2.5537121,1.9129932,117
179,0.8590889,-0.9727995,117
180,2.1650875,1.8890002,117
181,0.20376061,-0.7554862,117
182,0.2914138,0.38386947,118
183,1.3717653,1.9849094,118
184,0.14096275,1.5711021,118
185,0.015353452,1.8836887,118
186,1.1146694,4.992053,118
187,-0.23296872,4.230751,118
188,-1.0217019,1.5561639,118
189,2.0494595,4.7759004,118
190,-0.82736915,3.0279558,118
191,-0.20024358,4.569588,118
192,-1.1111702,1.3676548,118
193,-0.41373804,1.6518323,118
194,0.13421308,4.658634,118
195,0.24918014,1.2101731,119
196,1.3409764,2.3737993,119
197,-0.45311522,4.357591,119
198,2.2703784,4.3959637,119
199,1.1227183,2.001145,119
200,2.4313898,4.874428,119
201,0.19179745,0.7172358,119
202,0.081049085,-0.4197016,119
203,1.6353388,2.9121633,119
204,2.4626417,4.5173607,119
205,0.041899525,1.293987,119
206,0.9606451,1.6085318,119
207,2.2643373,4.793651,119
208,0.17258662,3.3055103,12
209,0.13697045,3.3554876,12
210,0.08133603,3.2965474,12
211,2.3125079,3.1076725,12
212,1.7951236,3.025791,12
213,1.947856,3.02228,12
214,4.569741,1.5431358,120
215,4.006648,3.4377005,120
216,2.4333253,-1.1330609,120
217,3.080496,2.20703,120
218,4.10885,3.3070207,120
219,2.1846123,1.7618165,120
220,3.176105,0.16592416,120
221,3.029567,-0.96839666,120
222,4.058698,1.6089427,120
223,-2.0555298,1.4500335,120
224,3.671189,-1.1065068,121
225,4.2089796,3.5818837,121
226,2.91437,-1.1858433,121
227,3.2979724,0.78353244,121
228,3.0053692,3.7145696,121
229,2.6779132,-0.84467465,121
230,-2.173211,3.0871248,122
231,-1.8473604,2.7171438,122
232,-1.6039766,2.5153544,122
233,-1.4119211,2.9432116,122
234,-2.6488848,3.031861,122
235,-2.8480463,2.916132,123
236,-1.1693977,2.0056894,123
237,-0.13376124,4.0970125,123
238,-2.3301284,3.195093,123
239,-0.7107797,3.2932825,123
240,-2.837228,2.9491422,123
241,0.9016271,-0.9995227,124
242,4.2640977,1.8940177,124
243,1.5137467,0.5078225,124
244,1.2154626,0.6282994,124
245,0.14873013,0.46085796,124
246,-0.983753,0.021717293,124
247,1.4420413,1.6517653,124
248,0.9161446,0.5958517,124
249,-0.5325126,-0.3627963,124
250,1.9147748,1.4134167,124
251,-0.32248148,-0.0010463202,124
252,-0.49380046,-0.26952153,124
253,2.2361228,1.4602591,124
254,4.089816,2.6062233,124
255,3.395814,0.107297145,124
256,1.0235231,5.088606,124
257,1.2994089,2.2137465,124
258,4.008243,0.2627219,124
259,1.1333088,0.6140497,124
260,0.24962029,0.48510367,124
261,2.300267,1.9807047,124
262,-1.0598085,3.130948,124
263,2.6394644,0.7212233,124
264,-0.15988177,3.061519,124
265,3.246188,0.29074878,124
266,-1.9161046,2.154268,124
267,1.0423173,2.0776544,124
268,2.5961947,1.2776369,125
269,3.8180268,1.3833246,125
270,2.0304637,1.0037643,125
271,1.812654,1.6865823,125
272,2.4626274,4.5799613,125
273,1.9462069,0.5135219,125
274,3.918674,2.7216604,125
275,2.1076176,-0.5912445,125
276,2.768945,0.07468537,125
277,2.6153042,4.4329023,125
278,2.378125,0.28104183,125
279,1.6850741,0.41509637,125
280,2.2481568,0.53007495,125
281,-0.59518594,2.16676,125
282,2.3874617,0.7091061,125
283,-2.1670408,2.1092327,125
284,1.2331269,0.8393216,125
285,1.4272841,1.0782146,125
286,1.1859641,2.3057725,125
287,3.1899602,4.60855,125
288,2.6295812,0.6166302,125
289,-2.1576972,1.9524802,125
290,-0.7003059,2.4786818,126
291,0.48221603,2.16207,126
292,-2.0477507,1.6170485,126
293,-1.4649509,2.378361,126
294,-0.23454198,1.1115983,126
295,-0.3154014,3.0386925,126
296,-1.6125904,1.7528052,126
297,-0.93606067,2.716612,126
298,-0.587677,2.7806354,126
299,0.46358562,2.1688685,126
300,-2.70742,3.4383554,126
301,-0.059790812,4.4654408,126
302,0.6289592,4.744847,126
303,-2.6313095,3.5196252,126
304,-0.37205178,2.8452826,127
305,-0.81293297,1.9065924,127
306,0.36770615,3.1564653,127
307,0.93161166,3.416866,127
308,-0.34041035,2.495949,127
309,-1.8663598,4.4888887,127
310,-0.44485372,4.5822415,127
311,3.408927,0.18056215,128
312,3.750471,2.109166,128
313,3.3907619,-0.13536833,128
314,2.1375449,-0.0013429455,128
315,2.8746722,2.4431074,128
316,3.8950913,3.0019414,128
317,2.8529892,-0.25139317,128
318,2.1487691,1.5584757,128
319,3.526816,0.88068813,128
320,1.0945656,-0.22373746,128
321,1.2721988,1.6512784,128
322,0.82014996,-0.14016359,128
323,3.7747025,0.13263115,128
324,4.6491265,1.8132731,128
325,2.410455,0.21450526,128
326,1.7627672,3.2903998,13
327,1.6162254,3.3805034,13
328,1.6247338,3.4044795,13
329,1.5714254,3.3884168,13
330,1.5799543,3.3872318,13
331,3.1282432,-0.104928836,131
332,2.9218996,0.23321843,131
333,3.3026364,1.0957557,131
334,0.7587443,0.925767,131
335,2.7206388,0.17517048,131
336,2.1713023,4.375019,131
337,3.0338244,0.16275278,131
338,2.8222148,4.606309,131
339,2.0015297,1.1971134,131
340,0.4849381,0.9472279,131
341,3.263623,2.3469214,131
342,0.5044636,-0.60676235,131
343,1.7516183,4.1434855,131
344,2.1998978,2.4407425,131
345,1.0358242,-0.053854268,131
346,2.6280534,1.0011314,131
347,3.1650786,1.7385645,131
348,3.4483976,0.9737347,131
349,2.7939363,4.6635103,131
